designation,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,bp_rp,bp_g,g_rp,l,b,distance
Gaia DR2 3451012132213888000,88.2628584937586,0.030176069844246,32.42940213452,0.028484931508258,0.72610962631491,0.03698917624477,19.63033,0.9186029,0.3727798,0.5458231,177.822800036545,3.16519532535988,11.9997125709473
Gaia DR2 3451181770540196480,88.0758712692033,30.9180035170843,32.5516103020381,24.6804017204054,NaN,NaN,NaN,NaN,NaN,NaN,177.637256894354,3.09112311226253,0.087636466198643
Gaia DR2 3451181770537674496,88.0748040054171,0.387011154190928,32.5520147796313,0.332383950546644,-0.043462106517844,0.510854957207663,-0.0850772,1.478413,-0.02731323,1.505726,177.636450796374,3.09055304082057,0.101338463183435
Gaia DR2 3451181770536200832,88.0747825974792,0.411746321475656,32.5539946384827,0.377050746592888,0.392920118412471,0.415707565347889,0.9451839,1.690853,0.2149525,1.475901,177.634732948762,3.09154185161545,0.103244071377705
Gaia DR2 3451181770539893760,88.078508171076,0.073916313127962,32.5527820455455,0.066573887419201,0.530469655263519,0.068740181527002,7.717024,2.029375,1.046088,0.9832869,177.637374759336,3.09363295270787,0.105336665763814
Gaia DR2 3451181770536202112,88.0782241636516,0.085897017546961,32.5502366259454,0.072445690901768,0.136587832188273,0.09305790417305,1.467772,0.97297,0.3142643,0.6587057,177.639449968387,3.09213545023514,0.188238813439948
Gaia DR2 3451181770537676800,88.0776616612043,0.29258819043161,32.5565969682934,0.255666973593968,0.472815905872003,0.180187349804341,2.624024,1.649199,0.6277199,1.021479,177.633719828274,3.09495322811772,0.225064181182231
Gaia DR2 3451181770537671680,88.0811911374768,0.082102223652565,32.5535762052626,0.083242203369097,0.752331258698307,0.055784510377338,13.48638,0.4609785,0.1649094,0.2960691,177.637838150692,3.09598470714659,0.242842188800438
Gaia DR2 3451181770536205440,88.0743937432466,0.321617819781208,32.5489347975478,0.296561651409804,-0.589655698902162,0.375733551452597,-1.569345,1.300301,-0.1166363,1.416937,177.638933222315,3.08869257246583,0.264406460170693
Gaia DR2 3451181770537670400,88.0818393788809,0.852707690696746,32.5523580125996,0.883764748115787,NaN,NaN,NaN,1.252741,-0.7780075,2.030748,177.63916709049,3.09583768465,0.275687497943518
Gaia DR2 3451181770539891328,88.0817123737537,0.048237463884566,32.554770521454,0.044063172965389,0.64049294365166,0.039785226846644,16.09876,0.9714127,0.3700819,0.6013308,177.637030552028,3.09696913559045,0.287245715341921
