,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
, Mission, Provenance Name, Instrument, Project, Filters, Waveband, Target Name, Target Classification, Observation ID, RA, Dec, Calibration Level, Start Time, Exposure Length, Release Date, Proposal Type," Distance ("")",
, string, string, string, string, string, string, string, string, string, ra, dec, int, float, float, float, string, float,
,obs_collection,provenance_name,instrument_name,project,filters,wavelength_region,target_name,target_classification,obs_id,s_ra,s_dec,calib_level,t_min,t_exptime,t_obs_release,proposal_type,distance,
,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0019-1-4,83.6582214424111,35.2096087820136,3,58815.58822172,1425.599402,58875,,0,
,SPITZER_SHA,SSC Pipeline,IRAC,,IRAC3,Infrared,NGC2099,,1222700,88.076458,32.553,3,54194.97784543,26.8,54567.85753,,0,
,SPITZER_SHA,SSC Pipeline,IRAC,,IRAC2,Infrared,NGC2099,,1222700,88.076458,32.553,3,54194.97784543,26.8,54567.85753,,0,
,SPITZER_SHA,SSC Pipeline,IRAC,,IRAC4,Infrared,NGC2099,,1222700,88.076458,32.553,3,54194.97784543,26.8,54567.85753,,0,
,SPITZER_SHA,SSC Pipeline,IRAC,,IRAC1,Infrared,NGC2099,,1222700,88.076458,32.553,3,54194.97784543,26.8,54567.85753,,0,
,PS1,3PI,GPC1,PS1,g,OPTICAL,2028.018,,rings.v3.skycell.2028.018.stk.g,88.3318279044723,32.581262183788,3,55560.5024288,1081,57741.54167,3PI,0,
,PS1,3PI,GPC1,PS1,i,OPTICAL,2028.018,,rings.v3.skycell.2028.018.stk.i,88.3318279044723,32.581262183788,3,55547.4062311,900,57741.54167,3PI,0,
,PS1,3PI,GPC1,PS1,r,OPTICAL,2028.018,,rings.v3.skycell.2028.018.stk.r,88.3318279044723,32.581262183788,3,55173.4269383,1671,57741.54167,3PI,0,
,PS1,3PI,GPC1,PS1,y,OPTICAL,INFRARED,2028.018,,rings.v3.skycell.2028.018.stk.y,88.3318279044723,32.581262183788,3,55241.262797,770,57741.54167,3PI,0
,PS1,3PI,GPC1,PS1,z,OPTICAL,2028.018,,rings.v3.skycell.2028.018.stk.z,88.3318279044723,32.581262183788,3,55482.6324463,540,57741.54167,3PI,0,
,PS1,3PI,GPC1,PS1,g,OPTICAL,2028.019,,rings.v3.skycell.2028.019.stk.g,87.8556852749354,32.5740716573307,3,55560.5024288,866,57741.54167,3PI,0,
,PS1,3PI,GPC1,PS1,i,OPTICAL,2028.019,,rings.v3.skycell.2028.019.stk.i,87.8556852749354,32.5740716573307,3,55547.4062311,720,57741.54167,3PI,0,
,PS1,3PI,GPC1,PS1,r,OPTICAL,2028.019,,rings.v3.skycell.2028.019.stk.r,87.8556852749354,32.5740716573307,3,55173.4269383,1271,57741.54167,3PI,0,
,PS1,3PI,GPC1,PS1,y,OPTICAL,INFRARED,2028.019,,rings.v3.skycell.2028.019.stk.y,87.8556852749354,32.5740716573307,3,55241.262797,590,57741.54167,3PI,0
,PS1,3PI,GPC1,PS1,z,OPTICAL,2028.019,,rings.v3.skycell.2028.019.stk.z,87.8556852749354,32.5740716573307,3,55482.6324463,390,57741.54167,3PI,0,
,PS1,3PI,GPC1,PS1,g,OPTICAL,2028.008,,rings.v3.skycell.2028.008.stk.g,88.3395604987921,32.1793997782949,3,55560.5017823,1081,57741.54167,3PI,574.914813183051,
,PS1,3PI,GPC1,PS1,i,OPTICAL,2028.008,,rings.v3.skycell.2028.008.stk.i,88.3395604987921,32.1793997782949,3,55547.4062311,945,57741.54167,3PI,574.914813183051,
,PS1,3PI,GPC1,PS1,r,OPTICAL,2028.008,,rings.v3.skycell.2028.008.stk.r,88.3395604987921,32.1793997782949,3,55173.4286543,1231,57741.54167,3PI,574.914813183051,
,PS1,3PI,GPC1,PS1,y,OPTICAL,INFRARED,2028.008,,rings.v3.skycell.2028.008.stk.y,88.3395604987921,32.1793997782949,3,55241.2644041,740,57741.54167,3PI,574.914813183051
,PS1,3PI,GPC1,PS1,z,OPTICAL,2028.008,,rings.v3.skycell.2028.008.stk.z,88.3395604987921,32.1793997782949,3,55482.6324463,480,57741.54167,3PI,574.914813183051,
,PS1,3PI,GPC1,PS1,g,OPTICAL,2028.009,,rings.v3.skycell.2028.009.stk.g,87.8656206439883,32.1723227583803,3,55560.5024288,823,57741.54167,3PI,574.915929220522,
,PS1,3PI,GPC1,PS1,i,OPTICAL,2028.009,,rings.v3.skycell.2028.009.stk.i,87.8656206439883,32.1723227583803,3,55547.4062311,810,57741.54167,3PI,574.915929220522,
,PS1,3PI,GPC1,PS1,r,OPTICAL,2028.009,,rings.v3.skycell.2028.009.stk.r,87.8656206439883,32.1723227583803,3,55173.4269383,951,57741.54167,3PI,574.915929220522,
,PS1,3PI,GPC1,PS1,y,OPTICAL,INFRARED,2028.009,,rings.v3.skycell.2028.009.stk.y,87.8656206439883,32.1723227583803,3,55241.262797,700,57741.54167,3PI,574.915929220522
,PS1,3PI,GPC1,PS1,z,OPTICAL,2028.009,,rings.v3.skycell.2028.009.stk.z,87.8656206439883,32.1723227583803,3,55482.6324463,450,57741.54167,3PI,574.915929220522,
,HLSP,QLP,Photometer,TESS,TESS,Optical,308910819,,hlsp_qlp_tess_ffi_s0019-0000000308910819_tess_v01_llc,87.9640344068,32.7303638151,4,58815.59938382,1800,59181.05508,,719.837224552649,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910113,,hlsp_qlp_tess_ffi_s0019-0000000311910113_tess_v01_llc,88.0718613423,32.5759483459,4,58815.59938278,1800,59181.05508,,79.8550612355947,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910108,,hlsp_qlp_tess_ffi_s0019-0000000311910108_tess_v01_llc,88.0736826347,32.5768856339,4,58815.59938271,1800,59181.05508,,82.5149268849278,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910096,,hlsp_qlp_tess_ffi_s0019-0000000311910096_tess_v01_llc,88.0689226784,32.5794076954,4,58815.59938282,1800,59181.05508,,93.8131966170333,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910086,,hlsp_qlp_tess_ffi_s0019-0000000311910086_tess_v01_llc,88.0608971751,32.5812314863,4,58815.59938305,1800,59181.05508,,108.102888675785,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910245,,hlsp_qlp_tess_ffi_s0019-0000000311910245_tess_v01_llc,88.0784965785,32.5528100326,4,58815.59938292,1800,59181.05508,,2.32794556005225,
,HLSP,QLP,Photometer,TESS,TESS,Optical,723273164,,hlsp_qlp_tess_ffi_s0019-0000000723273164_tess_v01_llc,88.0811801483,32.5536007981,4,58815.59938282,1800,59181.64557,,10.559850658383,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910266,,hlsp_qlp_tess_ffi_s0019-0000000311910266_tess_v01_llc,88.0719186133,32.5490502683,4,58815.59938319,1800,59181.05508,,15.7364230532014,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910276,,hlsp_qlp_tess_ffi_s0019-0000000311910276_tess_v01_llc,88.0764352466,32.5474165519,4,58815.59938307,1800,59181.05508,,16.0921612548826,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910230,,hlsp_qlp_tess_ffi_s0019-0000000311910230_tess_v01_llc,88.0849762923,32.5554876526,4,58815.59938268,1800,59181.05508,,23.4548876675282,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910272,,hlsp_qlp_tess_ffi_s0019-0000000311910272_tess_v01_llc,88.0677975793,32.5482991793,4,58815.59938333,1800,59181.05508,,27.2457274646541,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910199,,hlsp_qlp_tess_ffi_s0019-0000000311910199_tess_v01_llc,88.069228642,32.5601480818,4,58815.5993831,1800,59181.05508,,29.8078508369147,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910214,,hlsp_qlp_tess_ffi_s0019-0000000311910214_tess_v01_llc,88.0872012528,32.5577147475,4,58815.59938257,1800,59181.05508,,32.8668640816726,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910179,,hlsp_qlp_tess_ffi_s0019-0000000311910179_tess_v01_llc,88.0714163884,32.5633440229,4,58815.59938299,1800,59181.05508,,36.282891851536,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910178,,hlsp_qlp_tess_ffi_s0019-0000000311910178_tess_v01_llc,88.0846291843,32.5636890138,4,58815.59938256,1800,59181.05508,,41.8413003345986,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910319,,hlsp_qlp_tess_ffi_s0019-0000000311910319_tess_v01_llc,88.073068705,32.5403303813,4,58815.59938328,1800,59181.05508,,42.7278534953828,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910320,,hlsp_qlp_tess_ffi_s0019-0000000311910320_tess_v01_llc,88.0710275532,32.5402521438,4,58815.59938335,1800,59181.05508,,44.7109980460644,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910302,,hlsp_qlp_tess_ffi_s0019-0000000311910302_tess_v01_llc,88.0645384837,32.5433992124,4,58815.59938351,1800,59181.05508,,45.9769241391961,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910195,,hlsp_qlp_tess_ffi_s0019-0000000311910195_tess_v01_llc,88.0627375345,32.5609129422,4,58815.5993833,1800,59181.05508,,46.4922357350904,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910173,,hlsp_qlp_tess_ffi_s0019-0000000311910173_tess_v01_llc,88.0675282865,32.5648549399,4,58815.59938309,1800,59181.05508,,46.6148417116047,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910330,,hlsp_qlp_tess_ffi_s0019-0000000311910330_tess_v01_llc,88.0789113343,32.5382692113,4,58815.59938313,1800,59181.05508,,49.5256709845658,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910307,,hlsp_qlp_tess_ffi_s0019-0000000311910307_tess_v01_llc,88.0624332907,32.5427225934,4,58815.59938359,1800,59181.05508,,52.3603344506143,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910165,,hlsp_qlp_tess_ffi_s0019-0000000311910165_tess_v01_llc,88.0886661462,32.5656701229,4,58815.5993824,1800,59181.05508,,54.8752861166814,
,HLSP,QLP,Photometer,TESS,TESS,Optical,723272955,,hlsp_qlp_tess_ffi_s0019-0000000723272955_tess_v01_llc,88.0781179807,32.536675913,4,58815.59938318,1800,59181.64557,,54.9517928356975,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910171,,hlsp_qlp_tess_ffi_s0019-0000000311910171_tess_v01_llc,88.0918132347,32.5651079518,4,58815.59938231,1800,59181.05508,,59.8989900231677,
