MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE
M  37,05 52 18,+32 33.2,4,4,,,0,E,O,2009MNRAS.399.2146W
HD  39183,05 52 18.8391,+32 33 10.116,14,14,0.074,0.067,90,A,O,2018yCat.1345....0G
Cl* NGC 2099    HGH  230194,05 52 17.159,+32 33 24.01,7,7,,,0,C,O,2015ApJ...809..161N
[CBH2015] V1903,05 52 17.590,+32 33 28.83,7,7,,,0,C,O,2015AJ....150...27C
NGC  2099    16,05 52 17.2604,+32 32 56.580,14,14,0.048,0.042,90,A,O,2018yCat.1345....0G
Gaia DR2 3451181770537671680,05 52 19.4832,+32 33 12.962,14,14,0.082,0.083,90,A,O,2018yCat.1345....0G
Gaia DR2 3451181770539891328,05 52 19.6082,+32 33 17.264,14,14,0.048,0.044,90,A,O,2018yCat.1345....0G
NGC  2099    17,05 52 18.3444,+32 32 50.699,14,14,0.048,0.041,90,A,O,2018yCat.1345....0G
Gaia DR2 3451181766241431936,05 52 18.3769,+32 33 33.531,14,14,0.075,0.067,90,A,O,2018yCat.1345....0G
NGC  2099    15,05 52 16.2714,+32 32 53.877,14,14,0.039,0.033,90,A,O,2018yCat.1345....0G
Gaia DR2 3451181834960907904,05 52 16.6148,+32 33 36.533,14,14,0.043,0.040,90,A,O,2018yCat.1345....0G
V* V541 Aur,05 52 20.3943,+32 33 19.755,14,14,0.030,0.025,90,A,O,2018yCat.1345....0G
Cl* NGC 2099    HGH  140787,05 52 20.520,+32 33 19.44,7,7,,,0,C,O,2015ApJ...809..161N
Cl* NGC 2099    HGH  140216,05 52 20.150,+32 32 51.50,7,7,,,0,C,O,2015ApJ...809..161N
Cl* NGC 2099    HGH  230234,05 52 16.628,+32 32 41.09,7,7,,,0,C,O,2015ApJ...809..161N
Cl* NGC 2099    HGH V689,05 52 15.5728,+32 32 52.255,14,14,0.141,0.127,90,A,O,2018yCat.1345....0G
[CBH2015] V1473,05 52 16.0573,+32 32 44.630,14,14,5.540,4.931,90,C,O,2018yCat.1345....0G
Gaia DR2 3451181839259368192,05 52 17.1399,+32 33 48.038,14,14,0.030,0.028,90,A,O,2018yCat.1345....0G
Gaia DR2 3451181014625645696,05 52 21.1230,+32 33 10.939,14,14,0.029,0.025,90,A,O,2018yCat.1345....0G
NGC  2099    12,05 52 20.9283,+32 33 27.773,14,14,0.045,0.039,90,A,O,2018yCat.1345....0G
Cl* NGC 2099    HGH V688,05 52 15.4974,+32 32 45.314,14,14,0.058,0.048,90,A,O,2018yCat.1345....0G
Cl* NGC 2099    HGH V680,05 52 14.7707,+32 33 27.778,14,14,0.120,0.096,90,A,O,2018yCat.1345....0G
