x,y,z
1.117192961320772383e+03,3.434646248959154491e+02,7.284220566162379100e+02
-2.074198459294750501e+04,-2.295268448549054938e+03,-9.689950313747745895e+03
2.296445057710647234e+03,2.540704654512952629e+02,1.067263015150926321e+03
1.699315700791294830e+03,1.944173007805112832e+02,7.925988221805330340e+02
6.592083756205101054e+03,7.522981931845167765e+02,3.095134846588383880e+03
1.910065967076203151e+03,2.168911683865353552e+02,8.819187925868421871e+02
1.198257830370632291e+03,1.403496596283786175e+02,5.579044242476635418e+02
-1.526717391535649767e+03,-1.683096387608162843e+02,-7.189571367851792729e+02
1.408179251905177125e+03,1.656814655601054938e+02,6.536287749761887653e+02
6.906859183180764376e+03,7.347436076995212488e+02,3.210888245400929463e+03
4.384080759812119936e+02,5.101894128332907030e+01,2.065931343275588574e+02
1.581510137062504782e+03,1.704062180213162492e+02,7.443844288956743185e+02
1.285793401028769949e+03,1.379841552686859529e+02,5.931632422295454035e+02
1.545044207976399548e+03,1.735395006764248933e+02,7.306773488081653340e+02
1.338531119500657951e+03,1.505269654420048937e+02,6.135683898339897269e+02
1.049083410267279532e+03,1.098640262808716699e+02,4.833969295919532101e+02
1.273636235834105946e+03,1.540816996812658601e+02,5.903314398204579447e+02
-9.365889018888990904e+03,-1.044638963575486514e+03,-4.453983344270479392e+03
1.330190952447230529e+03,1.616624406795691868e+02,6.167112265417557637e+02
6.557518974598415298e+02,7.865583366731453907e+01,3.102231163409579153e+02
1.267752864506339165e+03,1.313210400186719085e+02,5.976163068564704872e+02
3.325219312847181754e+03,4.098038038404187091e+02,1.552909690781904601e+03
1.299818916472710043e+03,1.365175168799329128e+02,5.940319813156185091e+02
1.553587486053591874e+03,1.927363926440487205e+02,7.250115984250710426e+02
1.443339245069703111e+03,1.778716238286538669e+02,6.652512605042962832e+02
1.081233611419898125e+03,1.088160359414829514e+02,5.101351161528954776e+02
1.255435078082708742e+03,1.346340999962299634e+02,5.690205943153115413e+02
1.558276636802906751e+03,1.748637216767910161e+02,7.476560742583449155e+02
-9.458258989462231057e+02,-1.187667806362985203e+02,-4.441226101032305564e+02
1.183095615636880893e+03,1.433233604870832210e+02,5.380398465142068289e+02
1.398759741322640821e+03,1.403245987630332365e+02,6.632325021218779284e+02
1.030946128448108539e+03,1.005617736437796452e+02,4.809640141894391832e+02
7.840436653137755911e+02,9.870664652822192409e+01,3.608439079680171062e+02
1.411504449503096794e+03,1.702619292075409874e+02,6.401302559246538522e+02
1.238033153625009845e+03,1.348382255588819874e+02,5.960814662157358725e+02
1.506366639029456792e+03,1.465159013675185520e+02,6.923370275462133350e+02
1.633222869286701780e+03,1.832026237098835395e+02,7.345696310817870653e+02
4.022085533354761537e+02,4.954731895543937270e+01,1.926412120721621761e+02
1.549330456174978735e+03,1.655400556284284050e+02,7.459482597051833181e+02
1.448351987337581704e+03,1.856281835061832624e+02,6.836549623892860836e+02
1.444428273915790669e+03,1.494271016335626712e+02,6.933877353449926204e+02
1.132345076226597030e+03,1.135646629177578149e+02,5.404238374034080152e+02
1.548655940190390993e+03,1.538965596523357817e+02,7.043088094558327157e+02
1.344806252385058997e+03,1.324211409670439537e+02,6.129398528158347972e+02
1.459028011923642453e+03,1.507283795020525474e+02,6.583628843752908324e+02
1.319375665930750529e+03,1.314012903511448940e+02,5.988944225871809977e+02
5.854856525577775983e+02,7.509929910208603587e+01,2.771117113288386236e+02
3.726251885748017685e+02,4.696013407131128758e+01,1.699340934671905359e+02
3.436781731233410028e+03,3.352554380707168775e+02,1.631625848649154022e+03
1.451702236678168902e+03,1.666930368460490115e+02,7.031199706068997557e+02
-4.994901868022306007e+04,-6.475650399468318028e+03,-2.308697446226134343e+04
5.207736234918836544e+02,6.312206200378108889e+01,2.513891441171699626e+02
1.312822742789390077e+03,1.265570801283106306e+02,6.229247309802644850e+02
5.691119153578900978e+02,5.380074579815691038e+01,2.674324295357996562e+02
3.112371968847101471e+03,4.073467948249921733e+02,1.453091081585633901e+03
-5.157537221814727673e+02,-5.566428982572625017e+01,-2.308450528707674891e+02
1.395262494025977730e+03,1.369630901757988397e+02,6.669257544577588988e+02
